127.0.0.1 - - [18/Nov/2019:10:11:55 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:55 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:55 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:12:01 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:12:03 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:13:31 +0530] "GET /RestAPI/webapi/myresource/getBooks HTTP/1.1" 200 2
127.0.0.1 - - [18/Nov/2019:10:27:38 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:27:38 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:27:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:27:39 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:27:39 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:27:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:27:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:27:40 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:40:55 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
